TagID,Phase,Tag,Subtag,Purpose,"Triggers (examples, ;-separated)",RequiredFacts (needed before next),Micro-Script or Instruction (EN),NextAction,Disposition,
P1,PERSUADE_TRANSFER,RENTAL_FLIP_PRICE,PRICE,Flip rental to all-in,u-haul; penske; budget truck; rent a truck; box truck; truck rental,,,"DIY adds fuel, tolls, equipment, and your time. Full-service is one clear price and can be cheaper overall.",—,
P2,PERSUADE_TRANSFER,RENTAL_FLIP_TIME,TIME,Lead with time saved,busy; no time; tight schedule; long drive,,,Pros handle the lifting and driving so you keep your day. Delivery is scheduled to fit your timing.,—,
P3,PERSUADE_TRANSFER,PRICE_BEFORE_FACTS,PREPRICE,Handle “how much?” with missing basics,how much; price; cost,,,The mover gives a quick ballpark based on your date and items—I can connect you now.,—,
P4,PERSUADE_TRANSFER,ASK_TRANSFER,CLOSE,Primary close to connect,interest; ready; ok; yes; sounds good,,,Want me to connect you live to a mover for the best quote?,—,
P6,PERSUADE_TRANSFER,BEAT_OR_MATCH_OFFER,COMPARE,Optional compare/beat offer,already scheduled; booked other; compare; beat price,,,"Totally fair. If you want, I can check if a licensed mover can beat or match that—no obligation.",NEXT:T_ANY,
,,,,,,,,,,
T_ANY,TRANSFER,SELECT_BEST_TRANSFER,AUTO,Run best available transfer on yes,ready; yes; connect,lead_from_zipcode|lead_to_zipcode|move_date|move_size,Great—connecting you now for the best quote.,ACTION:crm_update(if any); ACTION:offer_live_transfer(company_name)|offer_truck_rental_transfer(company_name)|offer_call_transfer(company_name),Live Transfer|Truck Retnal Transfer|Call Transfer,
T3,TRANSFER,TRANSFER_NOT_READY,MISS1,Ask the one missing basic on “yes”,caller yes to connect but one basic missing,the_one_missing,Almost there—just the [missing field] and I’ll connect you now.,COLLECT:[missing]; ACTION:crm_update; NEXT:T_ANY,,
T4,TRANSFER,NO_AVAIL_TRANSFER,CAPACITY,If queue not green → callback/support,no availability; booked out; long hold,,,"I can line up options and call you back at a good time, or bring our support team on now—what’s better?",BRANCH:callback->ACTION:schedule_callback(time_window) | support->ACTION:transfer_to_dialup(),Follow Up|Support Transfer
,,,,,,,,,,
B0,SUPPORT_ROUTING,BOOKED_CLARIFY,BOOKED?,Clarify booked with us vs other,already booked; already scheduled; we’re set; we have a mover; taken care of,,,Got it—did you book with us or another company?,BRANCH:with us->N4 | pods->N5 | truck rental->N6 | other->N3,
N4,SUPPORT_ROUTING,BOOKED_WITH_US,OURS,Set disposition when booked with us,booked with you; with your team; scheduled with you,,,"Great to hear—you’re all set. If you need anything, Support can help.","ACTION:crm_update({""call_disposition"":""Booked with Us""})",Booked with Us
N3,SUPPORT_ROUTING,BOOKED_OTHER,OTHER,Set disposition when booked elsewhere,booked already; hired movers; scheduled elsewhere; already scheduled,,,Got it—thanks for the update. Wishing you a smooth move.,"ACTION:crm_update({""call_disposition"":""Booked""})",Booked
N5,SUPPORT_ROUTING,BOOKED_WITH_PODS,PODS,Booked with container company,booked pods; booked container; PODS; pack rat; 1-800-packrat,,,"Thanks for the update. If you need labor-only help, we can still connect you.","ACTION:crm_update({""call_disposition"":""Booked with PODs""})",Booked with PODs
N6,SUPPORT_ROUTING,BOOKED_TRUCK_RENTAL,TRUCK,Booked with truck-rental company,booked u-haul; booked penske; rented truck; ryder; budget truck,,,"Understood. If you’d like labor-only help, I can connect you for loading/unloading.","ACTION:crm_update({""call_disposition"":""Booked with Truck Rental""})",Booked with Truck Rental
N7,SUPPORT_ROUTING,TRUCK_RENTAL_ONLY,INTENT,Caller only wants truck rental (no movers),truck rental only; just need a truck; not movers,,,Got it—I'll note that you’re looking for a truck rental only.,"If you want, I can also connect you to movers for labor help.","ACTION:crm_update({""call_disposition"":""Truck Rental""})"
,,,,,,,,,,
S1,SUPPORT_ROUTING,SHORT_CLARIFY,NUDGE,One short clarification before human,confused; repeat; didn’t get it,,,"No problem—to match you well, I just need the from/to ZIPs and your date.",—,
S2,SUPPORT_ROUTING,ROUTE_DIALUP,SUPPORT,Route non-quote topics,coi; reschedule; cancel; claim; damage; refund; invoice; storage contract,,,I’ll bring in our support team to finish this quickly. One moment while I connect you.,ACTION:transfer_to_dialup(),Support Transfer
S3,SUPPORT_ROUTING,NO_AVAIL_OPTIONS,CAPACITY,If movers are busy now,no availability; booked out,lead_from_zipcode|move_date,"We can line up options and call you back at a good time, or I can bring our support team on now—what’s better?",BRANCH:callback->ACTION:schedule_callback(time_window) | support->ACTION:transfer_to_dialup(),Follow Up|Support Transfer,
S4,SUPPORT_ROUTING,LEGITIMACY_LIGHT,TRUST,Light legitimacy reassurance,is this legit; scam; who are you; licensed,,,We connect you with licensed movers and the mover you choose shares their credentials with the quote.,—,
S5,SUPPORT_ROUTING,CALM_ONCE,DE-ESC,"Calm once, then choose path",angry; upset; annoyed,,,"I hear you and I’ll keep it brief. I can connect you now for the best quote, or bring our support team on.",—,
S6,SUPPORT_ROUTING,ESCALATE_HUMAN,ESCALATE,Escalate after S5 still upset,still upset; not happy,,,I’ll bring in a specialist to help right away.,ACTION:transfer_to_dialup(),Support Transfer
S7,SUPPORT_ROUTING,STORAGE_HINTED,STORAGE,Only if caller hints storage,need storage; holding items; storage between moves,,,We can include storage if needed—happy to note that on your quote.,—,
S8,SUPPORT_ROUTING,DNC_CONFIRM,DNC,Set Do-Not-Call and end,stop calling; remove me; do not call; take me off,,,Understood—I’ve added you to Do-Not-Call and won’t contact you again. Wishing you a smooth move.,ACTION:mark_dnc(),DNC
S9,SUPPORT_ROUTING,SPANISH_ROUTE,SPANISH,Route Spanish to Support,español; spanish; habla español; prefiero español,,,I’ll bring in our support team to assist you right away.,ACTION:transfer_to_dialup(),Support Transfer
S10,SUPPORT_ROUTING,WRONG_PHONE,WRONG,Set wrong number,wrong number; not this person; wrong guy,,,Thanks for letting me know—I’ll update the number on file.,"ACTION:crm_update({""call_disposition"":""Wrong Phone""})",Wrong Phone
,,,,,,,,,,
NA1,SYSTEM,NO_BUYER_OUTCOME,NO_ROUTES,No transfer paths available,no movers available; can’t transfer; decline options,,,Thanks for your time. I’ll note your preferences.,"ACTION:crm_update({""call_disposition"":""No Buyer""})",No Buyer
VM1,SYSTEM,VOICE_MESSAGE,VM,Set disposition when voicemail,voicemail detected (system),,,—,Voice Message,
NA2,SYSTEM,NO_ANSWER,NO_ANS,Set disposition for no answer,no answer (system),,,—,No Answer,
NC1,SYSTEM,NOT_CONNECTED,UNREACH,Set disposition for unreachable,unreachable; failed to connect (system),,,—,Not Connected,
